predict score,label
0.014569646,0
0.978414063,1
0.053689629,0
0.970163242,1
0.039194678,0
0.96562107,1
0.005425984,0
0.939405902,1
0.391849583,0
0.965605823,1
0.055902892,0
0.987229041,1
0.150024716,0
0.992864982,1
0.867579758,0
0.983473178,1
0.006773178,0
0.992804941,1
0.061354123,0
0.993228865,1
0.108324877,0
0.972500741,1
0.015063492,0
0.965119298,1
0.112507813,0
0.994913379,1
2.39E-09,0
0.99487354,1
2.61E-05,0
0.990985727,1
0.091878518,0
0.974538982,1
0.05285426,0
0.988504259,1
1.08E-06,0
0.990255288,1
0.016287612,0
0.667546076,1
0.09496682,0
0.989846166,1
1.32E-05,0
0.813568811,1
0.332009691,0
0.953399916,1
0.041276385,0
0.992098685,1
4.65E-08,0
0.990610723,1
4.94E-05,0
0.996929844,1
9.10E-05,0
0.997119073,1
0.159055397,0
0.778700097,1
0.038592444,0
0.953202116,1
0.014194622,0
0.973333597,1
0.000239053,0
0.942540638,1
7.67E-05,0
0.833531555,1
1.24E-07,0
0.777942924,1
0.341105177,0
0.988526169,1
0.002817846,0
0.992588131,1
7.93E-05,0
0.824524613,1
3.69E-06,0
0.845918103,1
0.003236545,0
0.660113311,1
0.001683383,0
0.450761634,1
0.567742891,0
0.841833798,1
0.246424646,0
0.495378039,1
0.517468878,0
0.492336345,1
0.000512433,0
0.681811839,1
0.010816214,0
0.847584252,1
0.017817515,0
0.521146421,1
0.100021115,0
0.433613125,1
0.001629939,0
0.857386065,1
0.291854931,0
0.888340243,1
0.383550585,0
0.884107538,1
0.087790564,0
0.66114129,1
3.18E-05,0
0.831622144,1
0.31870098,0
0.861285253,1
0.080459586,0
0.854521672,1
0.272443138,0
0.472896083,1
0.036992392,0
0.512571015,1
0.044310682,0
0.494093565,1
0.001780561,0
0.554344201,1
0.000118643,0
0.499680851,1
0.061957603,0
0.474944284,1
0.094536037,0
0.468534897,1
0.00237458,0
0.468314285,1
0.003940519,0
0.50982193,1
0.096083335,0
0.478064754,1
0.000570561,0
0.481245333,1
0.052545352,0
0.558422422,1
0.015133277,0
0.670762046,1
0.000868711,0
0.4449241,1
0.001442434,0
0.692554587,1
0.001016049,0
0.630813946,1
0.104393295,0
0.477077488,1
2.69E-05,0
0.985020177,1
0.000605773,0
0.923339427,1
0.006786135,0
0.990576533,1
0.008246586,0
0.989193936,1
